Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u_0603_CL10A106MA8NRNC,C_0603_1608Metric,-5.275,-44.925,-90,bottom
C3,100n_0402_CL05B104KB54PNC,C_0402_1005Metric,-45.75,-55.25,90,bottom
C4,22u_0805_CL21A226MAQNNNE,C_0805_2012Metric,-3.45,-48.9,90,bottom
C5,10u_0603_CL10A106MA8NRNC,C_0603_1608Metric,-7.87,2.045,180,bottom
C6,10u_0603_CL10A106MA8NRNC,C_0603_1608Metric,-6.9875,-33.025,90,bottom
C7,10u_0603_CL10A106MA8NRNC,C_0603_1608Metric,-7.87,-3.43,0,bottom
C8,100n_0402_CL05B104KB54PNC,C_0402_1005Metric,-5.72,-4.58,90,bottom
C9,22u_0805_CL21A226MAQNNNE,C_0805_2012Metric,-14.65,-43.62,0,bottom
C10,100n_0402_CL05B104KB54PNC,C_0402_1005Metric,-11.02,-3.3925,180,bottom
C11,22p_0402_0402CG220J500NT,C_0402_1005Metric,-13.6,-40.01,0,bottom
C12,22u_0805_CL21A226MAQNNNE,C_0805_2012Metric,-18.74,-43.63,180,bottom
C13,22u_0805_CL21A226MAQNNNE,C_0805_2012Metric,-18.73,-45.69,180,bottom
C15,10u_0603_CL10A106MA8NRNC,C_0603_1608Metric,-55.35,-52.09,90,bottom
C16,100n_0402_CL05B104KB54PNC,C_0402_1005Metric,-49.23,-29.84,-90,bottom
C17,100n_0402_CL05B104KB54PNC,C_0402_1005Metric,-4.675,-26.925,180,bottom
C18,100n_0402_CL05B104KB54PNC,C_0402_1005Metric,-4.675,-25.875,180,bottom
C19,10u_0603_CL10A106MA8NRNC,C_0603_1608Metric,-19.695,-60.35,90,bottom
C20,10u_0603_CL10A106MA8NRNC,C_0603_1608Metric,-24.75,-60.375,90,bottom
C21,100n_0402_CL05B104KB54PNC,C_0402_1005Metric,-10.425,-24.925,-90,bottom
C22,10u_0603_CL10A106MA8NRNC,C_0603_1608Metric,-12.475,-25.1,180,bottom
C23,10u_0603_CL10A106MA8NRNC,C_0603_1608Metric,-24.44,-56.07,90,bottom
C24,10u_0603_CL10A106MA8NRNC,C_0603_1608Metric,-26.99,-56.07,90,bottom
C25,22u_0805_CL21A226MAQNNNE,C_0805_2012Metric,-11.65,-26.9,180,bottom
C26,22u_0805_CL21A226MAQNNNE,C_0805_2012Metric,-57.86,-55.03,0,bottom
C27,10u_0603_CL10A106MA8NRNC,C_0603_1608Metric,-57.64,-53.23,0,bottom
C28,22u_0805_CL21A226MAQNNNE,C_0805_2012Metric,-34.97,-30.64,90,bottom
C29,10u_0603_CL10A106MA8NRNC,C_0603_1608Metric,-36.79,-30.41,90,bottom
C30,100n_0402_CL05B104KB54PNC,C_0402_1005Metric,-56.62,-51.51,-90,bottom
C31,100n_0402_CL05B104KB54PNC,C_0402_1005Metric,-39.1,-29.85,90,bottom
C32,100n_0402_CL05B104KB54PNC,C_0402_1005Metric,-57.63,-51.5,-90,bottom
C34,10u_0603_CL10A106MA8NRNC,C_0603_1608Metric,-43.4,-23.13,-90,bottom
C35,10u_0603_CL10A106MA8NRNC,C_0603_1608Metric,-41.85,-23.14,-90,bottom
C36,100n_0402_CL05B104KB54PNC,C_0402_1005Metric,-41.58,-20.61,-90,bottom
C38,10u_0603_CL10A106MA8NRNC,C_0603_1608Metric,-29.76,-59.51,-90,bottom
C39,100n_0402_CL05B104KB54PNC,C_0402_1005Metric,-28.27,-56.62,-90,bottom
C40,100n_0402_CL05B104KB54PNC,C_0402_1005Metric,-29.26,-56.61,-90,bottom
C41,100n_0402_CL05B104KB54PNC,C_0402_1005Metric,-25.71,-56.6,-90,bottom
D1,B5819W-SL_SOD-123,D_SOD-123,-2.775,-37.725,180,bottom
D2,B5819W-SL_SOD-123,D_SOD-123,-2.775,-40.125,180,bottom
D5,B5819W-SL_SOD-123,D_SOD-123,-10.2,-39.65,180,bottom
D7,B5819W-SL_SOD-123,D_SOD-123,-39.81,-22.29,-90,bottom
L2,10u_SWPA4030S100MT,L_Sunlord_SWPA40xxS,-21.73,-40.36,0,bottom
L3,10u_SWPA4030S100MT,L_Sunlord_SWPA40xxS,-36.24,-26.57,90,bottom
Q1,AO3401A,SOT-23,-9.7125,-33.225,0,bottom
Q2,AO3400A,SOT-23,-43.275,-56.375,0,bottom
Q3,AO3400A,SOT-23,-43.275,-59.9,0,bottom
Q4,AO3401A,SOT-23,-9.7125,-36.7,0,bottom
Q5,AO3400A,SOT-23,-14.71,-14.59,0,bottom
Q8,AO3400A,SOT-23,-14.735,-11.09,0,bottom
R1,976k_0402_0402WGD9763TCE,R_0402_1005Metric,-12.27,-48.95,0,bottom
R2,976k_0402_0402WGD9763TCE,R_0402_1005Metric,-12.28,-49.97,180,bottom
R3,1k_0402_0402WGF1001TCE,R_0402_1005Metric,-6.6,-45.5,90,bottom
R4,1k_0402_0402WGF1001TCE,R_0402_1005Metric,-7.55,-45.475,90,bottom
R6,10k_0402_0402WGF1002TCE,R_0402_1005Metric,-9.45,-45.24,0,bottom
R7,10k_0402_0402WGF1002TCE,R_0402_1005Metric,-9.45,-44.19,0,bottom
R8,10k_0402_0402WGF1002TCE,R_0402_1005Metric,-45.75,-57.175,-90,bottom
